frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.730000000000000000e+02,1.814036480000000040e+02,2.393000000000000000e+03,3.682843104631710673e+01,6.705653021442492534e-02,2.565000000000000000e+03
1.740000000000000000e+02,1.824522240000000011e+02,2.404000000000000000e+03,3.265475973473596838e+01,6.821705426356594604e-02,2.580000000000000000e+03
1.750000000000000000e+02,1.835007999999999981e+02,2.418000000000000000e+03,3.419551627528576176e+01,6.820809248554915438e-02,2.595000000000000000e+03
1.760000000000000000e+02,1.845493759999999952e+02,2.426000000000000000e+03,3.435597958628648030e+01,7.049808429118775699e-02,2.610000000000000000e+03
1.770000000000000000e+02,1.855979519999999923e+02,2.442000000000000000e+03,3.292415526630865941e+01,6.971428571428572862e-02,2.625000000000000000e+03
1.780000000000000000e+02,1.866465279999999893e+02,2.455000000000000000e+03,3.592121007612819028e+01,7.007575757575756903e-02,2.640000000000000000e+03
1.790000000000000000e+02,1.876951039999999864e+02,2.465000000000000000e+03,3.666515148384544176e+01,7.156308851224102430e-02,2.655000000000000000e+03
1.800000000000000000e+02,1.887436799999999835e+02,2.477000000000000000e+03,3.493326972004386022e+01,7.228464419475655323e-02,2.670000000000000000e+03
1.810000000000000000e+02,1.897922559999999805e+02,2.491000000000000000e+03,3.412232895529455590e+01,7.225325884543765120e-02,2.685000000000000000e+03
1.820000000000000000e+02,1.908408319999999776e+02,2.504000000000000000e+03,3.465544690232691494e+01,7.259259259259254193e-02,2.700000000000000000e+03
1.830000000000000000e+02,1.918894080000000031e+02,2.519000000000000000e+03,3.304542328371660886e+01,7.219152854511967643e-02,2.715000000000000000e+03
1.840000000000000000e+02,1.929379840000000002e+02,2.527000000000000000e+03,3.380828300875393211e+01,7.435897435897431684e-02,2.730000000000000000e+03
1.850000000000000000e+02,1.939865599999999972e+02,2.540000000000000000e+03,3.608785575970583182e+01,7.468123861566489108e-02,2.745000000000000000e+03
1.860000000000000000e+02,1.950351359999999943e+02,2.555000000000000000e+03,3.292415526630865941e+01,7.427536231884057649e-02,2.760000000000000000e+03
1.870000000000000000e+02,1.960837119999999913e+02,2.564000000000000000e+03,3.350124375800596255e+01,7.603603603603603656e-02,2.775000000000000000e+03
1.880000000000000000e+02,1.971322879999999884e+02,2.579000000000000000e+03,3.407834111768548979e+01,7.562724014336918987e-02,2.790000000000000000e+03
1.890000000000000000e+02,1.981808639999999855e+02,2.595000000000000000e+03,3.487119154832539181e+01,7.486631016042777365e-02,2.805000000000000000e+03
